"Name","Version","License","URL"
"packageurl-python","0.17.6","MIT License","https://github.com/package-url/packageurl-python"
"packaging","26.0","Apache-2.0 OR BSD-2-Clause","https://github.com/pypa/packaging"
"pandas","2.3.3","BSD License","https://pandas.pydata.org"
"pillow","12.1.1","MIT-CMU","https://python-pillow.github.io"
"pip-requirements-parser","32.0.1","MIT","https://github.com/nexB/pip-requirements-parser"
"pluggy","1.6.0","MIT License","UNKNOWN"
"protobuf","6.33.5","3-Clause BSD License","https://developers.google.com/protocol-buffers/"
"py-serializable","2.1.0","Apache Software License","https://github.com/madpah/serializable#readme"
"pyarrow","23.0.1","Apache-2.0","https://arrow.apache.org/"
"pydantic","2.12.5","MIT","https://github.com/pydantic/pydantic"
"pydantic_core","2.41.5","MIT","https://github.com/pydantic/pydantic-core"
"pydeck","0.9.1","Apache License 2.0","https://github.com/visgl/deck.gl/tree/master/bindings/pydeck"
"pyparsing","3.3.2","MIT","https://github.com/pyparsing/pyparsing/"
"pytest","8.4.2","MIT License","https://docs.pytest.org/en/latest/"
"python-dateutil","2.9.0.post0","Apache Software License; BSD License","https://github.com/dateutil/dateutil"
"python-dotenv","1.2.1","BSD-3-Clause","https://github.com/theskumar/python-dotenv"
"pytz","2025.2","MIT License","http://pythonhosted.org/pytz"
"referencing","0.37.0","MIT","https://github.com/python-jsonschema/referencing"
"requests","2.32.5","Apache Software License","https://requests.readthedocs.io"
"rfc3339-validator","0.1.4","MIT License","https://github.com/naimetti/rfc3339-validator"
"rfc3986-validator","0.1.1","MIT License","https://github.com/naimetti/rfc3986-validator"
"rfc3987-syntax","1.1.0","MIT","https://github.com/willynilly/rfc3987-syntax"
"rpds-py","0.30.0","MIT","https://github.com/crate-py/rpds"
"scikit-learn","1.8.0","BSD-3-Clause","https://scikit-learn.org"
"scipy","1.17.0","BSD License","https://scipy.org/"
"six","1.17.0","MIT License","https://github.com/benjaminp/six"
"smmap","5.0.2","BSD License","https://github.com/gitpython-developers/smmap"
"sortedcontainers","2.4.0","Apache Software License","http://www.grantjenks.com/docs/sortedcontainers/"
"streamlit","1.54.0","Apache-2.0","https://streamlit.io"
"tenacity","9.1.4","Apache Software License","https://github.com/jd/tenacity"
"threadpoolctl","3.6.0","BSD License","https://github.com/joblib/threadpoolctl"
"toml","0.10.2","MIT License","https://github.com/uiri/toml"
"tornado","6.5.4","Apache Software License","http://www.tornadoweb.org/"
"typing-inspection","0.4.2","MIT","https://github.com/pydantic/typing-inspection"
"typing_extensions","4.15.0","PSF-2.0","https://github.com/python/typing_extensions"
"tzdata","2025.3","Apache-2.0","https://github.com/python/tzdata"
"uri-template","1.3.0","MIT License","https://gitlab.linss.com/open-source/python/uri-template"
"urllib3","2.6.3","MIT","https://github.com/urllib3/urllib3/blob/main/CHANGES.rst"
"watchdog","6.0.0","Apache Software License","https://github.com/gorakhargosh/watchdog"
"webcolors","25.10.0","BSD License","UNKNOWN"
